a,b,relationship,weight
ADI,A,pearson,727.4198962693472
ADI,AAPL,pearson,695.2022737202411
ADI,ABNB,pearson,612.4634142246258
ADP,AAPL,pearson,622.0028627711179
ADP,ABT,pearson,636.1366515569335
ADP,ACGL,pearson,725.8370187706738
ADP,ADI,pearson,611.0390966447609
ADSK,A,pearson,654.1549016776568
ADSK,AAPL,pearson,652.2110926824084
ADSK,ACN,pearson,642.4056769549594
ADSK,ADI,pearson,633.5668610022943
AEE,ACGL,pearson,620.4666914560455
AEE,ADP,pearson,683.9163759740828
AEP,AEE,pearson,656.9910474694211
AFL,ACGL,pearson,825.5803796929026
AFL,ADP,pearson,758.7623921487325
AFL,AEE,pearson,648.3254542245555
AIG,ACGL,pearson,794.6356192374756
AIG,ADP,pearson,706.9551601932753
AIG,AEE,pearson,604.6358229002004
AIG,AES,pearson,639.2193031949935
AIG,AFL,pearson,788.5771888780293
AIZ,ACGL,pearson,823.4441202163758
AIZ,ADP,pearson,717.6149617120934
AIZ,AFL,pearson,783.1298387015889
AIZ,AIG,pearson,757.9314520719091
AJG,ACGL,pearson,719.0317359032538
AJG,ADP,pearson,635.2626704375571
AJG,AFL,pearson,690.120008011454
AJG,AIG,pearson,691.2364797800051
AKAM,ACN,pearson,641.2215298313828
ALB,AAPL,pearson,673.1795867210443
ALB,ADI,pearson,623.1138400331182
ALGN,A,pearson,682.3343895534422
ALGN,ADI,pearson,618.0477339279744
ALGN,ADSK,pearson,708.8613182097082
ALL,ACGL,pearson,849.3729440539688
ALL,ADP,pearson,666.9999814977905
ALL,AEE,pearson,666.4745202039494
ALL,AFL,pearson,855.8307184480574
ALL,AIG,pearson,767.0942158557198
ALL,AIZ,pearson,789.6248012249097
ALL,AJG,pearson,707.6030069529381
AMAT,A,pearson,718.8180826182562
AMAT,ADI,pearson,685.4492623757229
AMAT,ALGN,pearson,662.0519761531201
AMCR,AAPL,pearson,602.4118328902136
AMCR,ADP,pearson,626.1418608221663
AMCR,AFL,pearson,604.781684888088
AMD,AAPL,pearson,671.6822911956357
AMD,ABNB,pearson,603.5359051122218
AMD,ADI,pearson,717.5038235325188
AMD,ADSK,pearson,656.1859170965821
AMD,ALB,pearson,676.1615573959668
AMD,ALGN,pearson,690.8436656734054
AMD,AMAT,pearson,727.3346568049261
AME,A,pearson,736.332081125416
AME,AAPL,pearson,600.297890512534
AME,ADI,pearson,787.1883789310474
AME,ADSK,pearson,658.3864820076828
AME,ALGN,pearson,667.5121443884779
AME,AMAT,pearson,673.777121826427
AME,AMD,pearson,663.6466570419963
AMGN,ABBV,pearson,665.9687633230108
AMGN,ABT,pearson,635.4103161189325
AMP,A,pearson,616.2653805886911
AMP,AAPL,pearson,696.2669470045441
AMP,ADI,pearson,690.8229167306544
AMP,ADP,pearson,612.2389989761635
AMP,ADSK,pearson,691.1485997019884
AMP,AIG,pearson,604.3471148144322
AMP,ALGN,pearson,662.1072806551584
AMP,AMD,pearson,637.917411247075
AMP,AME,pearson,734.5347850074005
AMT,AEP,pearson,654.1149311214144
AMZN,A,pearson,645.0719159652319
AMZN,AAPL,pearson,689.1810396461947
AMZN,ADI,pearson,697.1008141815146
AMZN,ADSK,pearson,729.2313326107189
AMZN,ALGN,pearson,761.3644140314225
AMZN,AMAT,pearson,675.0299107117472
AMZN,AMD,pearson,781.6210977198199
AMZN,AME,pearson,693.729481525103
AMZN,AMP,pearson,739.5288902829484
ANET,AMAT,pearson,629.844290842125
ANSS,A,pearson,689.7562883400511
ANSS,AAPL,pearson,625.1015669051703
ANSS,ADI,pearson,701.1565775888031
ANSS,ADSK,pearson,724.4550924584033
ANSS,AIZ,pearson,615.4292945862776
ANSS,ALB,pearson,601.4482515115485
ANSS,ALGN,pearson,654.3984823047998
ANSS,AMAT,pearson,715.5079764302197
ANSS,AMD,pearson,722.0980387112618
ANSS,AME,pearson,726.8319915209602
ANSS,AMP,pearson,712.51067484343
ANSS,AMZN,pearson,685.92203793891
ANSS,ANET,pearson,634.4452151012192
AON,ACGL,pearson,713.8699046633823
AON,ADP,pearson,724.6573435944174
AON,AFL,pearson,740.6253395994277
AON,AIG,pearson,692.7543208758252
AON,AIZ,pearson,666.8706210461197
AON,AJG,pearson,738.7466455697057
AON,ALL,pearson,759.0341569489322
AOS,ALLE,pearson,691.4576783068509
APA,AAPL,pearson,719.5497343708794
APA,ADI,pearson,670.9769257124572
APA,ALB,pearson,686.6167208643104
APA,AMD,pearson,712.3808598549514
APA,AME,pearson,636.582035368854
APA,AMP,pearson,648.06296468175
APA,AMZN,pearson,683.0261568039055
APA,ANSS,pearson,667.8384594174963
APD,A,pearson,677.3015476249415
APD,AAPL,pearson,671.9830805539602
APD,ADI,pearson,622.5609120001633
APD,ADP,pearson,720.5019865773156
APD,ADSK,pearson,637.2527483298073
APD,AFL,pearson,659.953241918228
APD,ALGN,pearson,614.8267403267621
APD,AMD,pearson,608.1691749575981
APD,AME,pearson,634.1497106638745
APD,AMP,pearson,620.7715577792598
APD,AMZN,pearson,619.3347550475706
APD,ANSS,pearson,687.9800186912266
APH,ADSK,pearson,612.6600974542041
APH,ALGN,pearson,604.2398334688098
APH,AMAT,pearson,691.4770330820511
APH,AMD,pearson,698.389227208452
APH,AME,pearson,723.6677011368279
APH,AMZN,pearson,639.1557600334252
APH,ANET,pearson,806.4475902459614
APH,ANSS,pearson,692.0432026587025
APO,A,pearson,637.5295605762675
APO,AAPL,pearson,622.2884127191784
APO,ABNB,pearson,624.753226510632
APO,ADI,pearson,673.4512906102768
APO,ADSK,pearson,769.2424044218299
APO,ALGN,pearson,705.5690228621511
APO,AMAT,pearson,611.3444265232678
APO,AMD,pearson,709.0271908599634
